lambda_lo,lambda_hi
6606.738471971559,6607.6672856469695
6610.816543205138,6610.980188396103
6611.179877506191,6611.654424059795
6613.051442108186,6613.23288322505
6613.414805920935,6614.64624594977
6622.628516134839,6622.804561070947
6622.992104422402,6623.4630823123025
6627.589708981098,6628.4776097299455
6629.310652299552,6630.239250849333
6633.514473740392,6633.670775295836
6633.878374662225,6635.231924088868
6642.201056328736,6642.352926274491
6642.565182499382,6643.024769055628
6643.453949728781,6646.019449420843
6650.093875832002,6650.989835831556
6672.708258430999,6672.858053381572
6675.571499866544,6675.6172583991865
6840.42996381224,6840.6139250104525
6840.805679630726,6841.299526103013
6843.103521954665,6843.830897948398
6844.058191402716,6844.526811816767
6854.712200686099,6856.098186427403
6865.46482926152,6866.508425435024
6867.008344824113,6882.42538241279
6882.832172622013,6882.916931676789
6883.353766311288,6900.202397285608
6900.611118809935,6903.667731527223
6903.9309268967945,6908.500108535628
6908.732095712844,6911.715269343565
6911.940702280415,6921.499833178593
6921.757823241146,6921.897737926815
6922.1378580962755,6923.698403404552
6924.3438261598,6925.625918008408
6925.879086286397,6926.969439963511
6927.241238117857,6929.132462585838
6929.419605164597,6932.691713067365
6932.95814865351,6934.9808812992005
6935.1732059969145,6938.186605343513
6938.709975142057,6940.4614152053855
6940.651167897659,6944.5636129740205
6944.8209404653,6946.259420101489
6948.297139536442,6951.301789162925
6951.514132240083,6956.206385212928
6956.588270978653,6957.363811009051
6957.561302696188,6957.561302696188
6957.768811607095,6962.819323023227
6963.019730432935,6963.879136688909
6964.92036590688,6967.368029273949
6971.785585035319,6976.976188145826
6977.386875978492,6978.4435388132215
6978.632907867515,6979.900042232822
6980.094354257403,6981.881557106712
6982.077863530698,6984.516618091724
6985.397912814292,6996.791189607836
6997.205669411045,6997.378259341085
6997.590028796338,6998.090319767023
6998.393700927018,7001.211196481042
7002.186364250651,7004.930125091633
7005.476838444072,7006.493103776047
7006.807863083216,7006.987541416175
7007.241819975975,7012.86202872198
7013.096153444976,7017.461269046116
7017.825485220975,7019.595376331059
7020.058947526814,7027.369618947015
7027.609648540588,7028.5898407602335
7028.80475138527,7029.715024600635
7029.974000756798,7030.056974182827
7030.308490422931,7033.2274181767425
7033.4433485452455,7033.937565078765
7037.38085478363,7037.560954951724
7037.753069327169,7040.201257137166
7040.434580073811,7040.621487927419
7040.831629638592,7042.113036840555
7042.360330757342,7042.4514953825765
7042.970226315153,7043.957174354773
7044.153945550604,7047.094169332176
7048.0701565498985,7057.207068585774
7057.401572807661,7063.780940535354
7064.015850440691,7065.580613965566
7065.828313323002,7071.256104033365
7071.476967117778,7075.979751401158
7076.206653873341,7078.144515183755
7078.442373162472,7083.33160270966
7083.730578308661,7085.099620404039
7086.115732635435,7088.661100053754
7088.962662978558,7089.1183815178765
7089.323884723118,7090.529986155634
7090.76401848645,7093.665584261897
7094.391274381757,7106.797308191442
7107.025057998803,7108.564524657299
7108.765095278176,7109.93947604497
7110.228944980363,7111.868528863736
7112.071351500826,7114.250027683856
7115.053308213795,7116.2689843867975
7116.720876607897,7117.875051696256
7118.09521003989,7118.593339026402
7119.488700314104,7122.170709386566
7122.9616684639695,7125.053297523593
7125.2787063271435,7128.54643530179
7128.7861028451,7135.090003916322
7135.372216197241,7136.535606585307
7136.767421325508,7137.253453595886
7138.5065950918115,7140.383001008751
7140.86899647903,7145.588650150754
7146.031200951076,7146.160453532018
7146.419979261674,7150.15009729387
7150.794188417498,7154.043799139956
7154.2698341522255,7156.066973125599
7156.402352876626,7161.844680702472
7162.09892159628,7163.122434006543
7163.315201725306,7182.737763548812
7183.045789841804,7185.284487537601
7185.5783471216355,7190.518848516696
7190.760463704605,7191.274063277744
7192.647262212926,7194.863337614563
7195.2975482280135,7196.443313285855
7196.929948333159,7197.472779567581
7197.8605636525235,7198.138071522297
7198.503310901272,7198.773632112442
7199.013809101786,7200.864290104866
7201.754798006435,7203.91166049374
7204.181687893102,7205.083843675819
7205.607195128702,7207.039911161326
7207.503325012345,7207.745212787322
7207.941765760874,7209.032397908605
7209.832079750331,7210.073662093861
7210.337048230696,7211.8840082087
7212.46283136029,7213.497226627951
7213.712536330559,7214.27265503052
7214.954511266405,7217.74687515707
7218.330837719537,7218.887497323858
7219.933788332557,7220.281926684074
7220.599183938379,7221.282314011112
7221.478725273948,7221.66719290271
7221.902531156309,7221.990216171108
7222.253820139697,7222.351212510238
7222.924050144032,7223.0708876152285
7223.331609769327,7223.381701665197
7224.161305824183,7226.551337116406
7226.7818900957345,7227.281101327554
7227.498735853202,7227.595885715977
7228.262802558122,7229.901500474895
7230.163629587599,7230.731069180362
7231.1676165954905,7231.262392997703
7231.499561310913,7235.758607387351
7236.1883818364095,7243.566825817764
7244.105437794996,7244.702836926651
7244.918862062085,7246.4599112383485
7246.743664245737,7247.877046460187
7248.703338876928,7249.717187024343
7249.96016696367,7251.651290876704
7251.907391520687,7253.022586156886
7253.574471976415,7256.476470814838
7256.771444645073,7257.62357015203
7257.9004767443885,7260.455535964219
7260.807507634806,7262.53026226878
7262.803689017863,7264.7552855786835
7265.011433436631,7265.688307247235
7266.153616085275,7266.153616085275
7266.408445831351,7268.393834171401
7269.326553017289,7270.851337585334
7271.169651601258,7272.789353535416
7273.037911658967,7273.067138299486
7273.330031376644,7285.739321447622
7286.685516734768,7295.878265896809
7296.13121916259,7298.039330050904
7298.316268722318,7298.619195488003
7298.934861879908,7317.115473644894
7317.367641779853,7323.787198920024
7324.023819321398,7324.510228096295
7324.742303125337,7328.952344370296
7329.283012815837,7333.33977478022
7334.082819991773,7335.35170882141
7335.600865982885,7336.030961360108
7336.393002155053,7338.107419998106
7338.34957081058,7339.54737459603
7340.689626493282,7344.280098423212
7345.032147994977,7347.153865145264
7347.519351411939,7351.822863943454
7352.0298708369955,7352.54049898739
7352.816287483994,7353.004528977756
7353.223797963033,7353.224410325066
7354.155924050016,7357.05939922306
7357.51920388136,7362.783610399498
7362.9878688117515,7364.943127847439
7365.162758767576,7366.641938712784
7366.9019849752285,7368.973567552511
7369.692181358903,7371.552897228015
7371.799070385822,7373.978321396525
7374.177926200871,7376.952232512249
7377.623764705436,7378.900254791426
7379.149493809916,7380.987723873586
7381.260349830561,7384.865516311459
7385.0997507857655,7385.0997507857655
7385.3199758223955,7385.602286866173
7385.869621997975,7386.509962600425
7388.483914931519,7389.487842200208
7389.861666979395,7396.106718929958
7397.295031098224,7398.643168499068
7398.907078816285,7401.721564182883
7402.192290304339,7403.785442580686
7405.182342573519,7406.745428856836
7407.005218117683,7409.6493597903
7409.858377081446,7410.616983410113
7410.879038568721,7411.372274655419
7411.6775482523135,7413.59472567049
7415.852427841285,7418.746559708863
7419.370117829798,7419.552859508862
7419.7645156420995,7420.315858408522
7422.338182946778,7423.608091763995
